source_doc_id,publisher,source_grade,accepted_for_final,document_type,source_url,attachment_url,file_name,mime_type,publication_date,coverage_scope,covered_city_count,covered_year_count,covered_core_value_count,covered_cities,covered_years,covered_fields,coverage_status,note
SRC-NBS-STATS-CODES-RULE,国家统计局,A1,true,统计标准,https://www.stats.gov.cn/hd/cjwtjd/202302/t20230207_1902279.html,,,text/html,2023-02-07,unclassified,0,0,0,,,,registered_no_selected_value,用于解释统计用区划代码的制度口径，不直接提供城市年度经济财政数值。
SRC-CITY-PANEL-1990-2023,JasmineHao 公开研究项目,D,false,研究数据集,https://raw.githubusercontent.com/JasmineHao/JasmineHao.github.io/main/econ6083/final-project/notebooks/data/china_city_panel_with_policies.csv,https://raw.githubusercontent.com/JasmineHao/JasmineHao.github.io/main/econ6083/final-project/notebooks/data/china_city_panel_with_policies.csv,china_city_panel_with_policies.csv,text/csv,2026-05-05,multicity_batch,295,4,597,CN-110000;CN-120000;CN-130100;CN-130200;CN-130300;CN-130400;CN-130500;CN-130600;CN-130700;CN-130800;CN-130900;CN-131000;CN-131100;CN-140100;CN-140200;CN-140300;CN-140400;CN-140500;CN-140600;CN-140700;CN-140900;CN-141000;CN-141100;CN-150100;CN-150200;CN-150300;CN-150400;CN-150500;CN-150600;CN-150700;CN-150800;CN-150900;CN-210100;CN-210200;CN-210300;CN-210400;CN-210500;CN-210600;CN-210700;CN-210800;CN-210900;CN-211000;CN-211100;CN-211200;CN-211300;CN-211400;CN-220200;CN-220300;CN-220400;CN-220500;CN-220600;CN-220700;CN-220800;CN-230100;CN-230200;CN-230300;CN-230400;CN-230500;CN-230600;CN-230700;CN-230800;CN-230900;CN-231000;CN-231100;CN-231200;CN-310000;CN-320100;CN-320200;CN-320300;CN-320400;CN-320500;CN-320600;CN-320700;CN-320800;CN-320900;CN-321000;CN-321100;CN-321200;CN-321300;CN-330100;CN-330200;CN-330300;CN-330400;CN-330500;CN-330600;CN-330700;CN-330800;CN-330900;CN-331000;CN-331100;CN-340100;CN-340200;CN-340300;CN-340400;CN-340500;CN-340600;CN-340700;CN-340800;CN-341000;CN-341100;CN-341200;CN-341300;CN-341500;CN-341600;CN-341700;CN-341800;CN-350100;CN-350200;CN-350300;CN-350400;CN-350500;CN-350600;CN-350700;CN-350800;CN-350900;CN-360100;CN-360200;CN-360300;CN-360400;CN-360500;CN-360600;CN-360700;CN-360800;CN-360900;CN-361000;CN-361100;CN-370100;CN-370200;CN-370300;CN-370400;CN-370500;CN-370600;CN-370700;CN-370800;CN-370900;CN-371000;CN-371100;CN-371200;CN-371300;CN-371400;CN-371500;CN-371600;CN-371700;CN-410100;CN-410200;CN-410300;CN-410400;CN-410500;CN-410600;CN-410700;CN-410800;CN-410900;CN-411000;CN-411100;CN-411200;CN-411300;CN-411400;CN-411500;CN-411600;CN-411700;CN-420100;CN-420200;CN-420300;CN-420500;CN-420600;CN-420700;CN-420800;CN-420900;CN-421000;CN-421100;CN-421200;CN-421300;CN-430100;CN-430200;CN-430300;CN-430400;CN-430500;CN-430600;CN-430700;CN-430800;CN-430900;CN-431000;CN-431100;CN-431200;CN-431300;CN-440100;CN-440200;CN-440300;CN-440400;CN-440500;CN-440600;CN-440700;CN-440800;CN-440900;CN-441200;CN-441300;CN-441400;CN-441500;CN-441600;CN-441700;CN-441800;CN-441900;CN-442000;CN-445100;CN-445200;CN-445300;CN-450100;CN-450200;CN-450300;CN-450400;CN-450500;CN-450600;CN-450700;CN-450800;CN-450900;CN-451000;CN-451100;CN-451200;CN-451300;CN-451400;CN-460100;CN-460200;CN-460400;CN-500000;CN-510100;CN-510300;CN-510400;CN-510500;CN-510600;CN-510700;CN-510800;CN-510900;CN-511000;CN-511100;CN-511300;CN-511400;CN-511500;CN-511600;CN-511700;CN-511800;CN-511900;CN-512000;CN-520100;CN-520200;CN-520300;CN-520400;CN-520500;CN-520600;CN-530100;CN-530300;CN-530400;CN-530500;CN-530600;CN-530700;CN-530800;CN-530900;CN-540100;CN-540200;CN-540300;CN-540400;CN-540500;CN-540600;CN-610100;CN-610200;CN-610300;CN-610400;CN-610500;CN-610600;CN-610700;CN-610800;CN-610900;CN-611000;CN-620100;CN-620200;CN-620300;CN-620400;CN-620500;CN-620600;CN-620700;CN-620800;CN-620900;CN-621000;CN-621100;CN-621200;CN-630100;CN-630200;CN-640100;CN-640200;CN-640300;CN-640400;CN-640500;CN-650100;CN-650200;CN-650400;CN-650500,2018;2019;2021;2022,gdp_current_100m;gdp_real_growth_pct;general_public_expenditure_100m;general_public_revenue_100m;resident_population_10k,provisional_only,公开研究型面板，仅作 provisional 暂存和字段覆盖基线；变量定义与官方逐表证据尚不完整。
SRC-ADMIN-DIVISION-2018,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2018.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2018.csv.gz,area_code_2018.csv.gz,application/gzip,2018-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-ADMIN-DIVISION-2019,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2019.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2019.csv.gz,area_code_2019.csv.gz,application/gzip,2019-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-ADMIN-DIVISION-2020,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2020.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2020.csv.gz,area_code_2020.csv.gz,application/gzip,2020-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-ADMIN-DIVISION-2021,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2021.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2021.csv.gz,area_code_2021.csv.gz,application/gzip,2021-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-ADMIN-DIVISION-2022,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2022.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2022.csv.gz,area_code_2022.csv.gz,application/gzip,2022-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-ADMIN-DIVISION-2023,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2023.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2023.csv.gz,area_code_2023.csv.gz,application/gzip,2023-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-ADMIN-DIVISION-2024,adyliu/china_area（注明数据来源为国家统计局）,C,false,行政区划名册,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2024.csv.gz,https://raw.githubusercontent.com/adyliu/china_area/master/area_code_2024.csv.gz,area_code_2024.csv.gz,application/gzip,2024-12-31,unclassified,0,0,0,,,,registered_no_selected_value,第三方归档并声称来源为国家统计局；作为城市主表版本来源，正式研究仍建议回读官方年度页面。
SRC-GD-YEARBOOK-2025,广东省统计局、国家统计局广东调查总队,A1,true,official_yearbook,https://stats.gd.gov.cn/gdtjnj/content/post_4810393.html,https://stats.gd.gov.cn/attachment/0/615/615394/4810393.zip,,application/zip,2025-12-09,multicity_batch,21,1,105,CN-440100;CN-440200;CN-440300;CN-440400;CN-440500;CN-440600;CN-440700;CN-440800;CN-440900;CN-441200;CN-441300;CN-441400;CN-441500;CN-441600;CN-441700;CN-441800;CN-441900;CN-442000;CN-445100;CN-445200;CN-445300,2024,gdp_current_100m;gdp_real_growth_pct;general_public_expenditure_100m;general_public_revenue_100m;resident_population_10k,accepted,用于 GDP、GDP 增速、年末常住人口、地方一般公共预算收入与支出；原始目录中的 HTML 表可定位到 02/03/08 章。
