record_id,city_id,metric_year,period_end,geo_scope,general_debt_limit_100m,general_debt_balance_100m,special_debt_limit_100m,special_debt_balance_100m,statutory_debt_limit_100m,statutory_debt_balance_100m,data_status,source_doc_id,source_grade,collection_status,lineage_complete_flag,note
DEBT-CN-110000-2018-PREFECTURE,CN-110000,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-120000-2018-PREFECTURE,CN-120000,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130100-2018-PREFECTURE,CN-130100,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130200-2018-PREFECTURE,CN-130200,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130300-2018-PREFECTURE,CN-130300,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130400-2018-PREFECTURE,CN-130400,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130500-2018-PREFECTURE,CN-130500,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130600-2018-PREFECTURE,CN-130600,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130700-2018-PREFECTURE,CN-130700,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130800-2018-PREFECTURE,CN-130800,2018,2018-12-31,prefecture_whole,,319.58,,181.45,,501.03,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-130900-2018-PREFECTURE,CN-130900,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-131000-2018-PREFECTURE,CN-131000,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-131100-2018-PREFECTURE,CN-131100,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140100-2018-PREFECTURE,CN-140100,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140200-2018-PREFECTURE,CN-140200,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140300-2018-PREFECTURE,CN-140300,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140400-2018-PREFECTURE,CN-140400,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140500-2018-PREFECTURE,CN-140500,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140600-2018-PREFECTURE,CN-140600,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140700-2018-PREFECTURE,CN-140700,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140800-2018-PREFECTURE,CN-140800,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-140900-2018-PREFECTURE,CN-140900,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-141000-2018-PREFECTURE,CN-141000,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-141100-2018-PREFECTURE,CN-141100,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150100-2018-PREFECTURE,CN-150100,2018,2018-12-31,prefecture_whole,,,,,,840.67,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-CEIC-CN-150100,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150200-2018-PREFECTURE,CN-150200,2018,2018-12-31,prefecture_whole,,,,,,,provisional,SRC-CITY-PANEL-1990-2023,D,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150300-2018-PREFECTURE,CN-150300,2018,2018-12-31,prefecture_whole,,,,,,172.94,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-CEIC-CN-150300,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150400-2018-PREFECTURE,CN-150400,2018,2018-12-31,prefecture_whole,,,,,,336.94,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-CEIC-CN-150400,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150500-2018-PREFECTURE,CN-150500,2018,2018-12-31,prefecture_whole,347.00,348.00,62.51,53.37,409.51,401.37,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-INNER-MONGOLIA-TONGLIAO-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150600-2018-PREFECTURE,CN-150600,2018,2018-12-31,prefecture_whole,1432.88,1413.99,44.45,37.82,1477.33,1451.80,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-INNER-MONGOLIA-ORDOS-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150700-2018-PREFECTURE,CN-150700,2018,2018-12-31,prefecture_whole,,,,,,371.59,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-CEIC-CN-150700,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150800-2018-PREFECTURE,CN-150800,2018,2018-12-31,prefecture_whole,247.82,257.53,42.75,47.98,290.57,305.52,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-INNER-MONGOLIA-BAYANNUR-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-150900-2018-PREFECTURE,CN-150900,2018,2018-12-31,prefecture_whole,495.85,477.49,74.85,75.02,570.70,552.51,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-INNER-MONGOLIA-ULANQAB-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-152200-2018-PREFECTURE,CN-152200,2018,2018-12-31,prefecture_whole,188.57,189.89,32.37,30.42,220.94,220.32,official_debt,SRC-OFFICIAL-DEBT-INNER-MONGOLIA-XINGAN-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-152500-2018-PREFECTURE,CN-152500,2018,2018-12-31,prefecture_whole,,,,,,,not_collected,,,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-152900-2018-PREFECTURE,CN-152900,2018,2018-12-31,prefecture_whole,131.52,128.27,31.48,31.32,163.00,159.59,official_debt,SRC-OFFICIAL-DEBT-INNER-MONGOLIA-ALXA-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-210100-2018-PREFECTURE,CN-210100,2018,2018-12-31,prefecture_whole,,922.00,,764.00,,1686.00,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-LIAONING-CITIES-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-210200-2018-PREFECTURE,CN-210200,2018,2018-12-31,prefecture_whole,,1318.00,,667.00,,1985.00,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-LIAONING-CITIES-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-210300-2018-PREFECTURE,CN-210300,2018,2018-12-31,prefecture_whole,,433.00,,295.00,,728.00,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-LIAONING-CITIES-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-210400-2018-PREFECTURE,CN-210400,2018,2018-12-31,prefecture_whole,,341.00,,44.00,,385.00,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-LIAONING-CITIES-2018,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
