city_id,admin_code_6,city_code_12,city_name_cn,province_code,province_name,prefecture_type,sample_tier,metric_year,roster_year,roster_source_year,valid_from,valid_to,roster_version_status,source_doc_id,source_locator,system_valid_from,system_valid_to,note
CN-110000,110000,110000000000,北京市,11,北京市,直辖市,separate,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=110100000000, parent=110000000000",2026-08-01T00:00:00+08:00,,
CN-120000,120000,120000000000,天津市,12,天津市,直辖市,separate,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=120100000000, parent=120000000000",2026-08-01T00:00:00+08:00,,
CN-130100,130100,130100000000,石家庄市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130100000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130200,130200,130200000000,唐山市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130200000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130300,130300,130300000000,秦皇岛市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130300000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130400,130400,130400000000,邯郸市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130400000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130500,130500,130500000000,邢台市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130500000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130600,130600,130600000000,保定市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130600000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130700,130700,130700000000,张家口市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130700000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130800,130800,130800000000,承德市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130800000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-130900,130900,130900000000,沧州市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=130900000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-131000,131000,131000000000,廊坊市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=131000000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-131100,131100,131100000000,衡水市,13,河北省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=131100000000, parent=130000000000",2026-08-01T00:00:00+08:00,,
CN-140100,140100,140100000000,太原市,14,山西省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=140100000000, parent=140000000000",2026-08-01T00:00:00+08:00,,
CN-140200,140200,140200000000,大同市,14,山西省,地级市,core,2018,2018,2018,2018-01-01,,official_source_snapshot,SRC-ADMIN-DIVISION-2018,"level=2, code=140200000000, parent=140000000000",2026-08-01T00:00:00+08:00,,
