lineage_id,target_table,target_record_id,target_field,value_origin,source_doc_id,source_locator,locator_type,page_number,table_name,sheet_name,cell_range,row_label,column_label,evidence_excerpt,raw_value,raw_unit,machine_extracted_value,normalized_value,normalization_rule,calculation_id,conflict_group_id,selected_flag,selection_reason,extraction_method,parse_confidence,reviewer,reviewed_at
LIN-000001,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,gdp_current_100m,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 30 行，city_code=110000，year=2018，字段=gdp_current_100m,csv_cell,,,,,北京市,gdp_current_100m,,303199787.0,万人民币,30319.98,30319.98,"10,000元换算为亿元",,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000002,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,gdp_real_growth_pct,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 30 行，city_code=110000，year=2018，字段=gdp_real_growth_pct,csv_cell,,,,,北京市,gdp_real_growth_pct,,6.6,%,6.60,6.60,百分比原值保留,,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000003,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,resident_population_10k,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 30 行，city_code=110000，year=2018，字段=resident_population_10k,csv_cell,,,,,北京市,resident_population_10k,,1368.0,万人（变量原名 pop_avg）,1368.00,1368.00,暂按公开变量名映射，待核实定义,,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000004,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,general_public_revenue_100m,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 30 行，city_code=110000，year=2018，字段=general_public_revenue_100m,csv_cell,,,,,北京市,general_public_revenue_100m,,57859175.0,万元人民币,5785.92,5785.92,"10,000元换算为亿元",,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000005,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,general_public_expenditure_100m,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 30 行，city_code=110000，year=2018，字段=general_public_expenditure_100m,csv_cell,,,,,北京市,general_public_expenditure_100m,,74675240.0,万元人民币,7467.52,7467.52,"10,000元换算为亿元",,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000006,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,general_debt_balance_100m,disclosed,SRC-SECONDARY-DEBT-BEIJING-2018,归档来源文本第 2 行；表=表5：2017~2019年北京市政府债务余额情况,text_row,,,,,北京市,general_debt_balance_100m,北京市 4248.89 2034.03 2214.86,北京市 4248.89 2034.03 2214.86,亿元,2034.03,2034.03,PDF/文本表格数值按原表单位换算为亿元；保留 prefecture_whole 全市/全州/全地区口径。,,,true,评级研究报告公开转载的地级行政单元总余额摘录，仅作补缺暂存；不反推一般/专项分项。,whitelist-row-parser,0.95,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000007,city_macro_fiscal,MACRO-CN-110000-2018-PREFECTURE,special_debt_balance_100m,disclosed,SRC-SECONDARY-DEBT-BEIJING-2018,归档来源文本第 2 行；表=表5：2017~2019年北京市政府债务余额情况,text_row,,,,,北京市,special_debt_balance_100m,北京市 4248.89 2034.03 2214.86,北京市 4248.89 2034.03 2214.86,亿元,2214.86,2214.86,PDF/文本表格数值按原表单位换算为亿元；保留 prefecture_whole 全市/全州/全地区口径。,,,true,评级研究报告公开转载的地级行政单元总余额摘录，仅作补缺暂存；不反推一般/专项分项。,whitelist-row-parser,0.95,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000008,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,gdp_current_100m,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 64 行，city_code=120000，year=2018，字段=gdp_current_100m,csv_cell,,,,,天津市,gdp_current_100m,,188096400.0,万人民币,18809.64,18809.64,"10,000元换算为亿元",,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000009,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,gdp_real_growth_pct,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 64 行，city_code=120000，year=2018，字段=gdp_real_growth_pct,csv_cell,,,,,天津市,gdp_real_growth_pct,,3.6,%,3.60,3.60,百分比原值保留,,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000010,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,resident_population_10k,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 64 行，city_code=120000，year=2018，字段=resident_population_10k,csv_cell,,,,,天津市,resident_population_10k,,1066.0,万人（变量原名 pop_avg）,1066.00,1066.00,暂按公开变量名映射，待核实定义,,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
LIN-000011,city_macro_fiscal,MACRO-CN-120000-2018-PREFECTURE,general_public_revenue_100m,disclosed,SRC-CITY-PANEL-1990-2023,CSV:data/china_city_panel_with_policies.csv 第 64 行，city_code=120000，year=2018，字段=general_public_revenue_100m,csv_cell,,,,,天津市,general_public_revenue_100m,,21061890.0,万元人民币,2106.19,2106.19,"10,000元换算为亿元",,,true,公开研究型面板作为暂存来源，待官方来源复核,csv,0.55,national_panel_collector,2026-08-01T00:00:00+08:00
