city_id,city_name_cn,province_name,metric_year,field_name,field_label_cn,sample_tier,data_status,source_doc_id,source_grade,collection_status,note
CN-530100,昆明市,云南省,2018,general_debt_balance_100m,一般债务余额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-DEBT-YUNNAN-KUNMING-2018;SRC-B2-GOTOHUI-BALANCE-541609;SRC-B2-GOTOHUI-EXPENDITURE-308472;SRC-B2-GOTOHUI-GDP-257050;SRC-B2-GOTOHUI-GROWTH-145635;SRC-B2-GOTOHUI-POPULATION-25327;SRC-B2-GOTOHUI-REVENUE-308471;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,B2,needs_review,"已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530100,昆明市,云南省,2018,general_debt_limit_100m,一般债务限额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-DEBT-YUNNAN-KUNMING-2018;SRC-B2-GOTOHUI-BALANCE-541609;SRC-B2-GOTOHUI-EXPENDITURE-308472;SRC-B2-GOTOHUI-GDP-257050;SRC-B2-GOTOHUI-GROWTH-145635;SRC-B2-GOTOHUI-POPULATION-25327;SRC-B2-GOTOHUI-REVENUE-308471;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,B2,needs_review,"已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530100,昆明市,云南省,2018,special_debt_balance_100m,专项债务余额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-DEBT-YUNNAN-KUNMING-2018;SRC-B2-GOTOHUI-BALANCE-541609;SRC-B2-GOTOHUI-EXPENDITURE-308472;SRC-B2-GOTOHUI-GDP-257050;SRC-B2-GOTOHUI-GROWTH-145635;SRC-B2-GOTOHUI-POPULATION-25327;SRC-B2-GOTOHUI-REVENUE-308471;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,B2,needs_review,"已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530100,昆明市,云南省,2018,special_debt_limit_100m,专项债务限额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-DEBT-YUNNAN-KUNMING-2018;SRC-B2-GOTOHUI-BALANCE-541609;SRC-B2-GOTOHUI-EXPENDITURE-308472;SRC-B2-GOTOHUI-GDP-257050;SRC-B2-GOTOHUI-GROWTH-145635;SRC-B2-GOTOHUI-POPULATION-25327;SRC-B2-GOTOHUI-REVENUE-308471;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,B2,needs_review,"已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530300,曲靖市,云南省,2018,general_debt_balance_100m,一般债务余额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-CEIC-CN-530300;SRC-B2-GOTOHUI-BALANCE-548360;SRC-B2-GOTOHUI-EXPENDITURE-548404;SRC-B2-GOTOHUI-GDP-257075;SRC-B2-GOTOHUI-GROWTH-145636;SRC-B2-GOTOHUI-POPULATION-25306;SRC-B2-GOTOHUI-REVENUE-548405;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,D,needs_review,"已接入商业数据库公开城市债务页的 provisional 补缺值；经济财政字段与债务字段来源状态分开记录，必须回到官方预算/决算或统计公报复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530300,曲靖市,云南省,2018,general_debt_limit_100m,一般债务限额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-CEIC-CN-530300;SRC-B2-GOTOHUI-BALANCE-548360;SRC-B2-GOTOHUI-EXPENDITURE-548404;SRC-B2-GOTOHUI-GDP-257075;SRC-B2-GOTOHUI-GROWTH-145636;SRC-B2-GOTOHUI-POPULATION-25306;SRC-B2-GOTOHUI-REVENUE-548405;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,D,needs_review,"已接入商业数据库公开城市债务页的 provisional 补缺值；经济财政字段与债务字段来源状态分开记录，必须回到官方预算/决算或统计公报复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530300,曲靖市,云南省,2018,special_debt_balance_100m,专项债务余额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-CEIC-CN-530300;SRC-B2-GOTOHUI-BALANCE-548360;SRC-B2-GOTOHUI-EXPENDITURE-548404;SRC-B2-GOTOHUI-GDP-257075;SRC-B2-GOTOHUI-GROWTH-145636;SRC-B2-GOTOHUI-POPULATION-25306;SRC-B2-GOTOHUI-REVENUE-548405;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,D,needs_review,"已接入商业数据库公开城市债务页的 provisional 补缺值；经济财政字段与债务字段来源状态分开记录，必须回到官方预算/决算或统计公报复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530300,曲靖市,云南省,2018,special_debt_limit_100m,专项债务限额（亿元）,core,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-SECONDARY-CEIC-CN-530300;SRC-B2-GOTOHUI-BALANCE-548360;SRC-B2-GOTOHUI-EXPENDITURE-548404;SRC-B2-GOTOHUI-GDP-257075;SRC-B2-GOTOHUI-GROWTH-145636;SRC-B2-GOTOHUI-POPULATION-25306;SRC-B2-GOTOHUI-REVENUE-548405;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,D,needs_review,"已接入商业数据库公开城市债务页的 provisional 补缺值；经济财政字段与债务字段来源状态分开记录，必须回到官方预算/决算或统计公报复核。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530400,玉溪市,云南省,2018,general_debt_limit_100m,一般债务限额（亿元）,core,official_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-OFFICIAL-DEBT-YUNNAN-YUXI-2018-FROM-2019-REPORT;SRC-B2-GOTOHUI-BALANCE-550153;SRC-B2-GOTOHUI-EXPENDITURE-550379;SRC-B2-GOTOHUI-FUND-551022;SRC-B2-GOTOHUI-GDP-257090;SRC-B2-GOTOHUI-GROWTH-145637;SRC-B2-GOTOHUI-POPULATION-25293;SRC-B2-GOTOHUI-REVENUE-550369;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,A2,needs_review,"已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m,statutory_debt_balance_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
CN-530400,玉溪市,云南省,2018,special_debt_limit_100m,专项债务限额（亿元）,core,official_debt,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2019;SRC-OFFICIAL-DEBT-YUNNAN-YUXI-2018-FROM-2019-REPORT;SRC-B2-GOTOHUI-BALANCE-550153;SRC-B2-GOTOHUI-EXPENDITURE-550379;SRC-B2-GOTOHUI-FUND-551022;SRC-B2-GOTOHUI-GDP-257090;SRC-B2-GOTOHUI-GROWTH-145637;SRC-B2-GOTOHUI-POPULATION-25293;SRC-B2-GOTOHUI-REVENUE-550369;SRC-D-DACHUANG-CITY-PANEL-2015-2024;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,A2,needs_review,"已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2018年第三方公开研究面板 D 级临时值（字段=gov_fund_revenue_100m,statutory_debt_limit_100m,statutory_debt_balance_100m）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。"
