period,field_name,field_label_cn,total_city_year_rows,missing_rows,covered_rows,coverage_pct
2018—2025,gdp_current_100m,地区生产总值（现价，亿元）,2732,851,1881,68.85
2018—2025,gdp_real_growth_pct,地区生产总值实际增速（%）,2732,850,1882,68.89
2018—2025,resident_population_10k,年末常住人口（万人）,2732,2077,655,23.98
2018—2025,general_public_revenue_100m,一般公共预算收入（亿元）,2732,812,1920,70.28
2018—2025,general_public_expenditure_100m,一般公共预算支出（亿元）,2732,812,1920,70.28
2018—2025,gov_fund_revenue_100m,政府性基金预算收入（亿元）,2732,2529,203,7.43
2018—2025,general_debt_limit_100m,一般债务限额（亿元）,2732,1456,1276,46.71
2018—2025,general_debt_balance_100m,一般债务余额（亿元）,2732,1014,1718,62.88
2018—2025,special_debt_limit_100m,专项债务限额（亿元）,2732,1456,1276,46.71
2018—2025,special_debt_balance_100m,专项债务余额（亿元）,2732,1014,1718,62.88
2018—2025,statutory_debt_limit_100m,法定债务限额（亿元）,2732,1456,1276,46.71
2018—2025,statutory_debt_balance_100m,法定债务余额（亿元）,2732,10,2722,99.63
2018—2025,debt_limit_utilization_pct,债务限额使用率（%）,2732,1456,1276,46.71
2018—2025,statutory_debt_to_gdp_pct,法定债务/GDP（%）,2732,852,1880,68.81
2018—2025,statutory_debt_to_revenue_pct,法定债务/一般预算收入（%）,2732,813,1919,70.24
2018—2025,fiscal_self_sufficiency_pct,财政自给率（%）,2732,812,1920,70.28
2018—2025,fund_revenue_dependence_pct,政府性基金收入依赖度（%）,2732,2569,163,5.97
2026,gdp_current_100m,地区生产总值（现价，亿元）,342,342,0,0.00
2026,gdp_real_growth_pct,地区生产总值实际增速（%）,342,342,0,0.00
2026,resident_population_10k,年末常住人口（万人）,342,342,0,0.00
2026,general_public_revenue_100m,一般公共预算收入（亿元）,342,342,0,0.00
2026,general_public_expenditure_100m,一般公共预算支出（亿元）,342,342,0,0.00
2026,gov_fund_revenue_100m,政府性基金预算收入（亿元）,342,342,0,0.00
2026,general_debt_limit_100m,一般债务限额（亿元）,342,342,0,0.00
2026,general_debt_balance_100m,一般债务余额（亿元）,342,342,0,0.00
2026,special_debt_limit_100m,专项债务限额（亿元）,342,342,0,0.00
2026,special_debt_balance_100m,专项债务余额（亿元）,342,342,0,0.00
2026,statutory_debt_limit_100m,法定债务限额（亿元）,342,342,0,0.00
2026,statutory_debt_balance_100m,法定债务余额（亿元）,342,342,0,0.00
2026,debt_limit_utilization_pct,债务限额使用率（%）,342,342,0,0.00
2026,statutory_debt_to_gdp_pct,法定债务/GDP（%）,342,342,0,0.00
2026,statutory_debt_to_revenue_pct,法定债务/一般预算收入（%）,342,342,0,0.00
2026,fiscal_self_sufficiency_pct,财政自给率（%）,342,342,0,0.00
2026,fund_revenue_dependence_pct,政府性基金收入依赖度（%）,342,342,0,0.00
