province_name,metric_year,missing_city_year_rows
云南省,2018,11
云南省,2019,12
云南省,2020,12
云南省,2021,11
云南省,2022,11
云南省,2023,9
云南省,2024,4
内蒙古自治区,2018,2
内蒙古自治区,2019,2
内蒙古自治区,2020,2
内蒙古自治区,2021,3
内蒙古自治区,2022,3
内蒙古自治区,2023,4
内蒙古自治区,2024,1
内蒙古自治区,2025,2
北京市,2018,1
北京市,2019,1
北京市,2020,1
北京市,2021,1
四川省,2018,7
四川省,2019,8
四川省,2020,8
四川省,2022,7
四川省,2023,7
天津市,2018,1
天津市,2019,1
安徽省,2019,16
安徽省,2020,16
安徽省,2021,16
安徽省,2022,16
安徽省,2023,14
山东省,2018,16
山东省,2019,16
山东省,2020,15
山东省,2022,15
山西省,2018,11
山西省,2019,11
山西省,2020,11
山西省,2021,11
山西省,2022,9
山西省,2023,6
山西省,2024,1
山西省,2025,4
广西壮族自治区,2018,12
广西壮族自治区,2019,12
广西壮族自治区,2020,12
广西壮族自治区,2021,12
广西壮族自治区,2022,12
广西壮族自治区,2023,11
广西壮族自治区,2024,1
新疆维吾尔自治区,2018,1
新疆维吾尔自治区,2019,1
新疆维吾尔自治区,2020,15
新疆维吾尔自治区,2021,1
新疆维吾尔自治区,2022,1
新疆维吾尔自治区,2023,1
新疆维吾尔自治区,2024,1
新疆维吾尔自治区,2025,1
江苏省,2019,13
江苏省,2020,13
江西省,2018,11
江西省,2019,11
江西省,2020,11
江西省,2021,11
江西省,2022,11
江西省,2023,11
河北省,2018,10
河北省,2019,10
河北省,2020,9
河北省,2022,10
河北省,2023,6
河南省,2018,18
河南省,2019,18
河南省,2020,18
河南省,2021,18
河南省,2022,18
河南省,2023,1
浙江省,2018,10
浙江省,2019,10
浙江省,2020,10
浙江省,2021,10
浙江省,2022,8
浙江省,2023,10
海南省,2018,5
海南省,2019,5
海南省,2020,2
海南省,2021,2
海南省,2022,2
海南省,2023,2
海南省,2024,2
海南省,2025,3
湖北省,2018,10
湖北省,2019,10
湖北省,2020,1
湖北省,2021,10
湖北省,2022,9
湖北省,2023,2
湖北省,2025,4
甘肃省,2019,6
甘肃省,2020,6
甘肃省,2021,6
甘肃省,2022,13
甘肃省,2023,13
甘肃省,2024,6
甘肃省,2025,6
福建省,2018,8
福建省,2019,8
福建省,2020,8
福建省,2021,8
福建省,2022,7
福建省,2023,8
西藏自治区,2018,7
西藏自治区,2019,7
西藏自治区,2020,7
西藏自治区,2021,7
西藏自治区,2022,7
西藏自治区,2023,7
贵州省,2018,9
辽宁省,2021,13
辽宁省,2023,13
重庆市,2018,1
重庆市,2019,1
陕西省,2018,7
陕西省,2019,7
陕西省,2020,7
陕西省,2021,7
陕西省,2022,6
黑龙江省,2018,13
黑龙江省,2019,13
