risk_metric_id,city_id,metric_year,period_end,geo_scope,metric_code,metric_name_cn,metric_value,unit,value_origin,calculation_id,data_status,source_doc_id,source_grade,note
RISK-CN-110000-2018-statutory_debt_to_gdp,CN-110000,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,14.01,%,calculated,CAL-CN-110000-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,
RISK-CN-110000-2018-statutory_debt_to_general_revenue,CN-110000,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,73.43,%,calculated,CAL-CN-110000-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,
RISK-CN-110000-2018-debt_limit_utilization,CN-110000,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-110000-2018-fiscal_self_sufficiency,CN-110000,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,77.48,%,calculated,CAL-CN-110000-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,
RISK-CN-110000-2018-gov_fund_dependence,CN-110000,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-110000-2018-tax_share,CN-110000,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-120000-2018-statutory_debt_to_gdp,CN-120000,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,21.68,%,calculated,CAL-CN-120000-2018-statutory_debt_to_gdp_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,
RISK-CN-120000-2018-statutory_debt_to_general_revenue,CN-120000,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,193.64,%,calculated,CAL-CN-120000-2018-statutory_debt_to_general_revenue_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,
RISK-CN-120000-2018-debt_limit_utilization,CN-120000,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-120000-2018-fiscal_self_sufficiency,CN-120000,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,67.84,%,calculated,CAL-CN-120000-2018-fiscal_self_sufficiency_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,
RISK-CN-120000-2018-gov_fund_dependence,CN-120000,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
