year,province,city,prov_code,city_code,region,hu_line,gdp,gdp_per_capita,gdp_growth,retail_sales,fixed_asset_inv,real_estate_inv,pop_hukou,pop_urban_hukou,pop_avg,employees,emp_secondary,emp_tertiary,fiscal_revenue,fiscal_exp,edu_exp,sci_exp,secondary_share,tertiary_share,industrial_firms,industrial_profit,fdi,exports,bank_deposits,bank_loans,uni_students,uni_students_per10k,highway_passenger,mobile_users,internet_users,so2_emission,wastewater,sewage_treatment_rate,pm25,lccp_treat,lccp_batch,lccp_first_year,sponge_treat,sponge_batch,sponge_first_year,cbec_treat,cbec_batch,cbec_first_year,ltci_treat,ltci_batch,ltci_first_year,smart_treat,smart_batch,smart_first_year
1990,北京市,北京市,110000,110000,东部,东南侧,5008200.0,4883.0,,3076643.0,1368357.0,,1035.71,,1025.6,,281.6,254.79,740101.0,665184.0,,,52.39,38.848,,,27695.0,,,,139646.0,,3490.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1991,北京市,北京市,110000,110000,东部,东南侧,5586900.0,5395.0,,3577529.0,1462331.0,,1039.5,,1035.6,,279.68,263.54,770199.0,679933.0,,,52.181,39.67,,,24482.0,,,,136940.0,,3118.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1992,北京市,北京市,110000,110000,东部,东南侧,7334726.0,7410.0,,4453082.0,2009831.0,,1044.89,,1043.45,,257.03,264.12,802532.0,717424.0,105507.0,,50.171,42.125,,,64475.0,,,,147923.0,,3415.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1993,北京市,北京市,110000,110000,东部,东南侧,9082551.0,9424.0,,5328636.0,3182214.0,,1051.18,,1051.3,,234.38,264.69,841015.0,809859.0,130962.0,,48.161,44.581,,,104467.0,,,,158906.0,,3713.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1994,北京市,北京市,110000,110000,东部,东南侧,10830377.0,11439.0,,6669756.0,5211383.0,,1061.75,,1059.15,482.0,211.73,265.27,1349452.0,1463677.0,216688.0,,46.151,47.037,,,144460.0,,,,175203.0,,4010.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1995,北京市,北京市,110000,110000,东部,东南侧,13948900.0,13454.0,12.4,8269826.0,4441085.0,3527730.0,1076.98,,1067.0,482.0,195.83,236.35,1857890.0,2117496.0,302414.0,,44.1,50.1,,,107996.0,,,,182173.0,,4307.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1996,北京市,北京市,110000,110000,东部,东南侧,16157300.0,15469.0,9.2,9236637.0,4974076.0,3281659.0,1077.7,,1074.85,660.0,260.12,327.46,2366327.0,2771314.0,388140.0,,42.3,52.6,,,124846.0,,,,189953.0,,4605.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1997,北京市,北京市,110000,110000,东部,东南侧,18100900.0,17483.0,9.57,10515342.0,5820764.0,3303366.0,1216.7,,1082.7,656.0,257.61,327.09,2874764.0,3425133.0,473866.0,,40.8,54.51,,,107729.0,,,,195842.0,,4902.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1998,北京市,北京市,110000,110000,东部,东南侧,20113100.0,19498.0,9.8,11952118.0,6829237.0,3773996.0,1223.39,,1090.55,622.0,225.86,324.79,3383202.0,4078951.0,559592.0,,39.1,56.6,,,206415.0,,,,212984.0,,6704.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1999,北京市,北京市,110000,110000,东部,东南侧,21744600.0,21513.0,10.23,13133233.0,6513968.0,4214591.0,1249.9,,1098.4,619.0,214.64,329.69,3891639.0,4732769.0,645318.0,,38.6,57.3,5225.0,,178191.0,,,,234033.0,,9878.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
