甘肃省2018年地方政府债务限额及余额预计决算情况表
单位：亿元
地区 2018年债务限额 一般债务限额 专项债务限额 2018年债务余额预计决算数 一般债务余额 专项债务余额
兰州市 593.88 113.83 480.06 522.55 102.54 420.01
嘉峪关市 41.10 23.49 17.61 32.60 22.50 10.10
金昌市 53.92 40.38 13.54 43.59 34.74 8.85
白银市 145.26 75.77 69.49 125.31 66.43 58.88
天水市 131.01 67.85 63.16 115.02 62.55 52.48
武威市 104.68 62.60 42.08 97.02 59.59 37.43
张掖市 89.94 57.49 32.45 76.84 51.18 25.66
平凉市 113.59 73.98 39.61 101.69 66.93 34.76
酒泉市 110.04 57.61 52.43 84.50 52.58 31.92
庆阳市 175.30 118.52 56.78 147.15 105.21 41.94
定西市 95.67 58.36 37.31 84.11 54.21 29.90
陇南市 87.83 62.39 25.44 84.02 59.84 24.18
临夏回族自治州 105.60 75.79 29.81 93.75 70.71 23.04
甘南藏族自治州 47.02 36.58 10.44 36.31 32.01 4.30
