图表4：2018年湖北各市州债务情况
市州市 18年地方政府债务余额（亿元） 17年地方政府债务余额（亿元） 18年地方政府债务余额增速 18年全口径债务增速 发债城投有息债务（亿元） 18年经调整债务率 17年经调整债务率
武汉市 2650.0 2217.9 19.5% 11.0% 5983.4 225.7% 244.1%
襄阳市 543.4 489.0 11.1% 18.7% 1004.8 - 150.0%
宜昌市 534.3 456.4 17.1% 10.2% 994.6 - 228.6%
十堰市 373.3 334.4 11.6% 12.5% 249.4 - -
黄冈市 356.2 333.0 7.0% 4.7% 265.8 88.5% 99.1%
荆州市 316.3 271.1 16.7% 19.5% 492.3 136.4% 138.6%
孝感市 308.7 272.3 13.4% 14.7% 242.8 - 117.2%
恩施州 256.8 228.7 12.3% 18.3% 77.0 76.2% 71.5%
黄石市 208.1 189.0 10.1% 26.3% 409.7 - 159.7%
荆门市 198.4 164.7 20.4% 12.4% 365.8 159.7% 190.1%
咸宁市 183.4 163.3 12.3% 18.5% 229.5 - 98.3%
鄂州市 120.4 85.6 40.6% 15.0% 99.9 - 140.6%
随州市 114.8 109.8 4.5% 9.8% 190.0 - 167.0%
