广东省2019年省级决算草案表18
2019年广东省地方政府债务限额及余额决算情况表
单位：亿元；字段顺序：债务限额合计 一般债务限额 专项债务限额 债务余额合计 一般债务余额 专项债务余额
广州市 3131.79 1050.60 2081.18 2714.94 881.50 1833.44
深圳市 698.50 324.60 373.90 430.27 67.87 362.40
韶关市 292.92 178.87 114.05 242.46 143.75 98.72
珠海市 676.93 372.37 304.56 545.58 251.38 294.20
汕头市 305.52 101.32 204.20 285.75 85.04 200.71
佛山市 1768.71 643.19 1125.53 1388.38 385.65 1002.73
江门市 585.16 355.61 229.55 449.96 245.12 204.85
湛江市 424.34 165.18 259.16 410.22 158.52 251.71
茂名市 320.07 152.58 167.50 279.38 130.54 148.84
肇庆市 446.24 206.90 239.33 375.11 184.49 190.61
惠州市 775.35 534.11 241.24 626.34 403.47 222.88
梅州市 363.86 198.06 165.80 311.67 160.97 150.70
汕尾市 222.33 71.18 151.14 205.85 64.64 141.21
河源市 281.16 156.43 124.72 264.24 140.42 123.81
阳江市 220.24 121.28 98.95 205.01 114.31 90.70
清远市 366.84 133.09 233.75 336.24 109.13 227.11
东莞市 753.39 557.20 196.18 704.94 523.15 181.79
中山市 354.53 97.58 256.95 326.31 79.70 246.62
潮州市 181.67 114.80 66.87 168.33 105.59 62.74
揭阳市 269.72 113.67 156.05 253.95 107.65 146.29
云浮市 221.73 102.35 119.39 186.69 83.99 102.70
