辽宁省2019年地方政府债务限额及余额情况表
单位：亿元；字段顺序：债务限额合计 一般债务限额 专项债务限额 债务余额合计 一般债务余额 专项债务余额
沈阳市 2018.11 1033.19 984.92 1745.703527 948.645167 797.05836
大连市 2167.14 1421.32 745.82 1976.941944 1340.234401 636.707543
鞍山市 815.01 469.57 345.44 782.35284 456.932899 325.419942
抚顺市 410.72 356.87 53.85 380.751269 334.968868 45.7824
本溪市 298.26 211.41 86.85 284.338082 205.707063 78.631018
丹东市 316 280.92 35.08 303.62116 271.138544 32.482617
锦州市 465.11 400.21 64.9 378.349191 341.61429 36.7349
营口市 866.22 746.72 119.5 831.681229 714.552966 117.128262
阜新市 160.88 126.12 34.76 150.646756 119.238156 31.4086
辽阳市 293.88 257.18 36.7 287.07154 252.934022 34.137518
盘锦市 687.21 601.5 85.71 656.155808 580.510417 75.645391
铁岭市 283.02 164.77 118.25 274.417737 157.589336 116.828401
朝阳市 223.59 146.45 77.14 189.82255 126.96115 62.8614
葫芦岛市 398.4 357.74 40.66 373.56983 333.899713 39.670117
