来源标题：浙江省2019年地方政府债务限额及余额决算情况表（不含宁波）
来源：浙江省财政厅公开决算表，公开镜像附件（公告日期2020-08-26）。
口径：地级市全市；单位：亿元。表内列顺序为：2019年债务限额合计、一般债务限额、专项债务限额、2019年债务余额（决算数）、一般债务余额、专项债务余额。
注：原表不含宁波市；浙江省2019年观察对象中的10个地级市均在下表列示。

地区 2019年债务限额合计 2019年一般债务限额 2019年专项债务限额 2019年债务余额 2019年一般债务余额 2019年专项债务余额
杭州市 2546.04 1074.54 1471.50 2540.86 1072.89 1467.97
温州市 1288.19 467.43 820.76 1287.64 467.02 820.62
嘉兴市 988.00 477.44 510.56 987.22 476.89 510.33
湖州市 734.14 521.96 212.18 733.18 521.45 211.73
绍兴市 1039.35 420.07 619.28 1038.88 420.00 618.88
金华市 808.62 416.55 392.07 808.01 416.37 391.64
衢州市 463.29 242.45 220.84 462.72 242.29 220.43
舟山市 444.69 255.87 188.82 442.30 255.70 186.60
台州市 990.47 610.64 379.83 986.52 610.37 376.15
丽水市 526.07 319.21 206.86 525.75 319.11 206.64
