表1

             湖南省2020年地方政府债务限额及余额决算情况表
                                                                                        单位：亿元
                           2020年债务限额                              2020年债务余额（决算数）
      地 区
                            一般债务            专项债务                         一般债务          专项债务
      公 式   A=B+C              B             C            D=E+F           E             F
湖南省           12,160.91        6,738.02       5,422.89      11,815.18      6,504.70         5,310.48
湖南省本级          2,108.35        1,669.25          439.10      1,985.11      1,572.30          412.82
长沙市            2,223.01            655.58     1,567.43       2,222.57         655.14        1,567.43
 长沙市本级         1,222.65            276.97        945.68      1,222.47         276.80         945.68
 芙蓉区             53.54              38.61         14.93        53.54           38.61          14.93
 天心区             43.48              30.07         13.41        43.48           30.07          13.41
 岳麓区             57.14              37.91         19.23        57.14           37.91          19.23
 开福区             35.15              23.03         12.12        35.15           23.03          12.12
 雨花区             47.84              33.28         14.56        47.84           33.28          14.56
 望城区            123.26              36.50         86.76       123.17           36.41          86.76
 长沙县            321.00              41.11        279.89       321.01           41.11         279.89
 宁乡市            167.11              49.25        117.86       167.01           49.15         117.86
 浏阳市            151.85              88.85         63.00       151.77           88.77          63.00
株洲市             849.96             371.44        478.52       808.96          351.44         457.52
 株洲市本级          381.29              91.19        290.10       381.26           91.16         290.10
 荷塘区             21.08               5.42         15.66        21.08            5.42          15.66
 芦淞区             20.70               5.29         15.41        20.71            5.29          15.41
 石峰区             28.55              14.82         13.73        28.54           14.82          13.73
 天元区             79.99              50.25         29.74        39.99           31.25            8.75
 渌口区             34.91              14.77         20.14        34.90           14.77          20.14
 攸县              96.39              53.84         42.55        96.21           53.67          42.55
 茶陵县             34.52              24.23         10.29        34.12           23.83          10.29
 炎陵县             21.69              16.51          5.18        21.34           16.15            5.18
 醴陵市            130.84              95.12         35.72       130.80           95.09          35.72
湘潭市             654.65             349.15        305.49       584.41          310.92         273.50
 湘潭市本级          360.69             191.05        169.63       360.68          191.05         169.63
 雨湖区                9.16             6.70          2.46           9.16          6.70            2.46
 岳塘区             80.13              44.27         35.86        10.13            6.27            3.86
 湘潭县             94.29              53.10         41.19        94.29           53.10          41.19
 湘乡市             89.32              40.90         48.42        89.08           40.66          48.42
 韶山市             21.06              13.13          7.93        21.06           13.13            7.93
衡阳市             928.49             419.11        509.38       887.69          388.31         499.38
 衡阳市本级          508.24             158.13        350.11       508.02          157.91         350.11
 珠晖区                6.37             4.88          1.49           6.37          4.88            1.49
 雁峰区                4.13             2.32          1.81           4.13          2.32            1.81
 石鼓区                4.09             3.15          0.94           4.09          3.15            0.94
 蒸湘区                4.76             3.69          1.07           4.76          3.69            1.07
 南岳区                9.64             4.69          4.95           9.64          4.69            4.95
 衡阳县             82.15              49.11         33.04        79.48           46.44          33.04
 衡南县             43.91              28.09         15.82        43.44           27.61          15.82
 衡山县             23.41              15.09          8.32        22.85           14.53            8.32
 衡东县             28.69              16.17         12.52        28.68           16.17          12.52
 祁东县             43.03              21.70         21.33        43.02           21.69          21.33
 耒阳市             89.26              57.94         31.32        86.93           55.62          31.32
 常宁市             80.82              54.16         26.66        46.28           29.61          16.67
邵阳市             561.39             313.70        247.69       561.15          313.45         247.69
 邵阳市本级          223.89              67.89        156.00       223.89           67.89         156.00
 双清区                5.53             4.21          1.32           5.53          4.21            1.32
                           2020年债务限额                              2020年债务余额（决算数）
      地 区
                            一般债务            专项债务                         一般债务          专项债务
      公 式   A=B+C              B             C            D=E+F           E             F
