广东省财政厅《2020年省级决算草案》表18
2020年广东省地方政府债务限额及余额决算情况表
单位：亿元；字段顺序：债务限额合计 一般债务限额 专项债务限额 债务余额合计 一般债务余额 专项债务余额
广州市 3606.09 1057.10 2548.98 3127.08 897.63 2229.45
深圳市 1179.50 345.60 833.90 881.21 68.86 812.35
韶关市 375.52 186.27 189.25 331.05 157.95 173.10
珠海市 778.24 360.38 417.86 635.21 233.65 401.55
汕头市 431.00 112.38 318.62 417.05 100.69 316.36
佛山市 1862.47 619.75 1242.73 1526.77 387.31 1139.46
江门市 635.28 350.13 285.15 508.52 245.29 263.24
湛江市 551.94 182.88 369.06 537.50 176.10 361.40
茂名市 414.77 162.38 252.40 377.92 141.31 236.61
肇庆市 567.24 208.00 359.23 533.24 193.79 339.44
惠州市 834.65 496.31 338.34 718.38 400.21 318.17
梅州市 447.36 210.76 236.60 397.83 175.14 222.69
汕尾市 311.83 85.88 225.94 290.25 74.81 215.44
河源市 345.26 163.53 181.72 332.30 151.80 180.50
阳江市 269.54 134.08 135.45 247.27 122.99 124.28
清远市 473.84 143.19 330.65 446.11 123.34 322.76
东莞市 913.94 555.06 358.88 865.28 520.78 344.49
中山市 433.91 92.46 341.45 410.35 80.17 330.18
潮州市 228.69 125.82 102.87 217.12 118.38 98.74
揭阳市 318.42 125.47 192.95 304.13 121.04 183.10
云浮市 256.13 110.75 145.39 239.46 95.88 143.58
