2021年河北省地方政府债务限额及余额情况表
单位：亿元；债务余额为预计执行数
地区 2021年债务限额合计 一般债务限额 专项债务限额 2021年债务余额合计 一般债务余额 专项债务余额
石家庄市 1951.75 878.75 1072.99 1726.89 735.48 991.41
唐山市 2335.72 1241.02 1094.70 2027.67 1001.64 1026.03
秦皇岛市 727.17 430.87 296.30 614.20 349.89 264.32
邯郸市 1196.41 585.93 610.48 987.86 477.87 509.99
邢台市 898.71 321.58 577.13 791.96 267.88 524.08
保定市 1055.99 289.70 766.29 925.95 254.99 670.96
张家口市 980.07 462.35 517.72 877.82 387.67 490.14
承德市 754.02 442.39 311.63 648.77 384.20 264.57
沧州市 759.58 318.75 440.83 661.24 262.42 398.81
廊坊市 789.56 244.92 544.64 677.12 193.86 483.26
衡水市 512.18 186.58 325.61 469.12 167.25 301.87
