表4-1
湖南省2021年地方政府债务限额及余额决算情况表
地区 2021年债务限额合计 一般债务 专项债务 2021年债务余额合计 一般债务 专项债务
湖南省 13838.91 7089.02 6749.89 13605.43 6904.95 6700.48
湖南省本级 2205.60 1764.25 441.35 2039.06 1624.00 415.07
长沙市 2561.14 684.67 1876.47 2554.49 683.02 1871.47
株洲市 917.22 384.38 532.84 905.59 382.75 522.84
湘潭市 800.78 359.66 441.12 790.84 357.72 433.12
衡阳市 1029.20 438.76 590.44 1020.66 430.22 590.44
邵阳市 670.61 338.47 332.14 669.15 337.01 332.14
岳阳市 797.71 363.88 433.84 794.77 360.93 433.83
常德市 802.76 501.01 301.75 800.69 498.94 301.75
张家界市 293.35 153.04 140.31 292.54 152.22 140.31
益阳市 513.79 243.58 270.21 512.18 241.97 270.21
郴州市 944.52 582.89 361.62 937.71 576.09 361.62
永州市 637.70 352.52 285.18 630.63 345.45 285.18
怀化市 739.08 340.34 398.74 736.76 338.14 398.62
娄底市 488.56 310.81 177.74 486.13 308.39 177.74
湘西土家族苗族自治州 436.88 270.74 166.14 434.23 268.09 166.14
