表六十一 江苏省 2021 年地方政府债务限额及余额情况表
金额单位：亿元
地区 合计限额 一般债务限额 专项债务限额 合计余额 一般债务余额 专项债务余额
南京市 3208.88 1211.34 1997.54 2889.97 1070.30 1819.66
无锡市 1680.94 555.45 1125.49 1608.06 522.50 1085.56
徐州市 1423.83 371.99 1051.84 1332.27 315.73 1016.54
常州市 1450.18 420.69 1029.49 1415.33 400.64 1014.69
苏州市 1941.78 807.67 1134.11 1588.36 663.86 924.50
南通市 2030.33 872.22 1158.11 1862.70 790.74 1071.97
连云港市 706.15 260.08 446.07 658.42 230.87 427.55
淮安市 753.69 416.73 336.96 692.62 383.08 309.54
盐城市 1547.48 666.80 880.68 1472.83 633.96 838.87
扬州市 1084.05 446.77 637.28 977.69 412.90 564.80
镇江市 1974.42 461.69 1512.73 1918.30 423.69 1494.61
泰州市 1044.28 494.04 550.24 965.83 440.79 525.03
宿迁市 898.46 378.83 519.63 875.84 359.81 516.04
