2021年山东省地方政府债务限额及余额分地区执行情况明细表
单位：亿元；字段顺序：债务限额合计 一般债务限额 专项债务限额 债务余额合计 一般债务余额 专项债务余额
济南市 2372.23 286.61 2085.62 2119.49 233.75 1885.74
青岛市 2866.25 1142.65 1723.60 2559.07 952.15 1606.92
淄博市 969.37 382.54 586.83 946.27 373.45 572.82
枣庄市 568.83 198.23 370.60 561.64 195.04 366.60
东营市 629.06 254.10 374.96 615.79 248.07 367.72
烟台市 1603.12 709.24 893.88 1540.75 680.56 860.19
潍坊市 1701.18 719.16 982.02 1672.43 703.81 968.62
济宁市 1382.88 526.45 856.43 1345.18 509.06 836.12
泰安市 748.27 376.20 372.07 723.24 370.64 352.60
威海市 819.44 317.90 501.54 794.73 309.18 485.55
日照市 489.05 136.16 352.89 460.41 128.88 331.53
临沂市 1321.27 346.32 974.95 1257.38 330.57 926.81
德州市 977.87 381.65 596.22 925.46 355.06 570.40
聊城市 848.91 222.46 626.45 819.49 212.25 607.24
滨州市 1086.46 358.67 727.79 1009.80 325.99 683.81
菏泽市 1145.56 161.75 983.81 1107.73 150.41 957.32
