表1 2022年地方政府债务限额、余额决算表
单位：亿元
地区 合计限额 一般债务限额 专项债务限额 合计余额 一般债务余额 专项债务余额
长沙市 2871.18 709.33 2161.85 2870.35 708.50 2161.85
株洲市 1016.29 396.73 619.56 1015.12 395.56 619.56
湘潭市 961.50 364.34 597.16 959.72 362.56 597.16
衡阳市 1134.17 452.57 681.60 1125.54 443.94 681.60
邵阳市 774.59 360.72 413.87 773.89 360.01 413.87
岳阳市 926.34 379.64 546.71 922.58 375.88 546.70
常德市 924.81 518.08 406.73 923.05 516.32 406.73
张家界市 354.48 166.38 188.10 353.94 165.83 188.10
益阳市 614.06 263.04 351.02 612.95 261.94 351.02
郴州市 1035.37 599.06 436.30 1027.66 591.35 436.30
永州市 764.53 373.04 391.49 757.49 366.00 391.49
怀化市 856.56 359.68 496.89 855.18 358.30 496.89
娄底市 585.47 326.86 258.60 583.55 324.95 258.60
湘西州 498.63 283.28 215.35 493.01 277.66 215.35
