广东省人民政府关于我省2023年省级决算草案的报告
2023年广东省地方政府一般债务、专项债务限额及余额决算情况表
单位：亿元；字段顺序：债务限额合计 一般债务限额 专项债务限额 债务余额合计 一般债务余额 专项债务余额；表35与表36按全市行对齐
广州市 5627.88 932.97 4694.91 5532.23 930.26 4601.97
深圳市 2774.18 199.71 2574.47 2692.43 132.80 2559.63
韶关市 726.69 255.80 470.89 726.22 255.71 470.51
珠海市 1324.59 338.98 985.61 1321.50 335.99 985.51
汕头市 1013.30 187.90 825.40 1012.32 187.31 825.01
佛山市 2760.60 405.45 2355.15 2750.72 405.34 2345.38
江门市 1089.35 318.77 770.58 1087.69 318.55 769.14
湛江市 1114.52 286.96 827.56 1114.09 286.75 827.34
茂名市 808.39 231.18 577.21 807.47 230.84 576.63
肇庆市 1133.43 244.83 888.60 1133.11 244.51 888.60
惠州市 1232.08 422.80 809.28 1231.42 422.17 809.25
梅州市 813.48 347.79 465.69 813.43 347.75 465.68
汕尾市 596.33 119.53 476.80 596.20 119.42 476.78
河源市 652.53 245.79 406.74 652.28 245.74 406.54
阳江市 443.77 182.96 260.81 443.43 182.63 260.80
清远市 926.80 224.47 702.33 917.65 224.02 693.63
东莞市 1623.53 519.87 1103.66 1622.65 519.59 1103.06
中山市 876.36 80.18 796.18 876.34 80.17 796.17
潮州市 401.35 178.61 222.74 401.34 178.60 222.74
揭阳市 501.87 177.96 323.91 501.63 177.91 323.72
云浮市 519.89 205.77 314.12 519.56 205.75 313.81
