表二十二 2023年地方政府债务限额和余额情况表
单位：亿元
级次 合计限额 合计余额 一般债务限额 一般债务余额 专项债务限额 专项债务余额
全省合计 11366.45 10855.37 5157.94 4871.51 6208.51 5983.86
省本级 2172.23 2099.84 1422.00 1361.44 750.23 738.40
地市合计 9194.22 8755.54 3735.94 3510.07 5458.28 5245.46
西安市 4212.43 4029.69 1146.46 1071.45 3065.97 2958.24
铜川市 229.25 221.40 108.96 104.19 120.29 117.22
宝鸡市 471.54 433.65 223.61 204.10 247.93 229.55
咸阳市 545.19 524.60 209.65 194.66 335.54 329.94
渭南市 672.23 651.62 320.96 306.12 351.27 345.50
汉中市 538.51 508.95 233.09 219.58 305.42 289.36
安康市 549.92 530.12 345.12 332.65 204.80 197.47
商洛市 467.23 442.87 336.45 320.55 130.78 122.32
延安市 705.85 658.00 372.04 338.98 333.81 319.02
榆林市 667.65 626.35 389.59 372.63 278.06 253.72
杨凌示范区 134.42 128.28 50.01 45.17 84.41 83.12
