附件1-3

        2023年度自治区政府债务限额、余额（含一般债务限额、余额和专项债务限额、余额）情况表
                                                                                                   单位：亿元

                        政府债务限额总额                       其中：新增债务限额                      政府债务余额决算数
  行政区划名称
               合计        一般债务       专项债务       合计        一般债务      专项债务       合计        一般债务       专项债务
新疆维吾尔自治区      9590.14     4601.61   4988.53   1328.00     279.00   1049.00   8957.42     4046.20   4911.22

自治区本级         1369.08     1278.57    90.51     54.51      48.91     5.60     1157.71     1067.51    90.20

所属地（州、市）小计 8221.06        3323.04   4898.02   1273.49     230.09   1043.40   7799.71     2978.69   4821.02

乌鲁木齐市         1653.99     512.96    1141.03   136.99       3.00    133.99    1532.18     441.17    1091.01

克拉玛依市         302.98      189.08    113.90     21.30       6.90     14.40    263.75      150.65    113.10

伊犁哈萨克自治州      862.47      296.53    565.94    187.79      26.69    161.10    841.50      280.48    561.02

塔城地区          414.11      187.96    226.15     56.82      15.97    40.85     388.32      165.58    222.74

阿勒泰地区         418.74      185.02    233.72     81.40      15.00    66.40     404.66      171.21    233.45

博尔塔拉蒙古自治州     359.97      148.96    211.01     72.00      14.50    57.50     342.30      132.04    210.26

昌吉回族自治州       636.99      275.90    361.09     65.02      21.33    43.69     598.34      247.07    351.27

巴音郭楞蒙古自治州     647.68      236.08    411.60    102.36      21.00    81.36     630.84      221.97    408.87

阿克苏地区         702.61      277.02    425.59    140.80      22.80    118.00    667.76      243.72    424.04

克孜勒苏自治州       269.64      154.94    114.70     44.00      15.60    28.40     259.60      144.90    114.70

喀什地区          786.45      312.42    474.03    179.26      27.20    152.06    767.73      294.78    472.95

和田地区          569.55      286.26    283.29    108.94      21.70    87.24     551.20      268.36    282.84

吐鲁番市          244.05       93.49    150.56     30.81      6.40     24.41     232.54      82.83     149.71

哈密市           351.83      166.42    185.41     46.00      12.00    34.00     318.99      133.93    185.06

