表27
贵州省2024年分地区政府债务限额和余额情况表
单位：亿元
地区 2024年政府债务限额合计 一般债务 专项债务 2024年政府债务余额合计 一般债务 专项债务
贵州省 20361.55 9002.17 11359.38 17537.09 8679.13 8857.96
省本级 4992.75 1827.01 3165.74 2287.42 1586.53 700.89
市县小计 15368.80 7175.16 8193.64 15249.67 7092.60 8157.07
贵阳市 3799.34 812.35 2986.99 3769.48 803.43 2966.05
六盘水市 1139.79 682.82 456.97 1131.78 676.01 455.77
遵义市 2801.53 1603.88 1197.65 2788.40 1594.11 1194.29
安顺市 846.73 423.45 423.28 841.71 419.97 421.74
铜仁市 1430.53 818.21 612.32 1422.88 811.13 611.75
黔西南州 1123.96 605.79 518.17 1117.81 600.90 516.91
毕节市 1617.45 968.60 648.85 1603.38 956.36 647.02
黔东南州 1030.98 508.69 522.29 1004.60 483.66 520.94
黔南州 1578.49 751.37 827.12 1569.63 747.03 822.60
