表六十一 江苏省2024年地方政府债务限额及余额情况表
金额单位：亿元
地区 合计限额 一般债务限额 专项债务限额 合计余额 一般债务余额 专项债务余额
南京市 3822.29 1229.38 2592.91 3661.56 1199.17 2462.39
无锡市 2631.88 619.45 2012.43 2609.72 615.78 1993.94
徐州市 1921.51 382.15 1539.36 1872.37 361.52 1510.85
常州市 2470.18 454.09 2016.09 2443.69 449.31 1994.38
苏州市 3785.04 754.74 3030.30 3657.97 730.40 2927.56
南通市 2686.81 886.28 1800.53 2616.08 877.09 1738.99
连云港市 874.15 280.42 593.73 852.47 267.96 584.51
淮安市 1063.75 433.75 630.00 1031.29 420.61 610.68
盐城市 2033.53 779.42 1254.11 1961.56 758.01 1203.55
扬州市 1467.74 476.58 991.16 1430.20 472.26 957.93
镇江市 2700.94 599.53 2101.41 2693.48 595.94 2097.54
泰州市 1351.64 513.29 838.35 1315.70 499.39 816.32
宿迁市 1122.71 414.27 708.44 1109.39 406.20 703.19
