2024年地方政府债务限额和余额情况表
表二十二
单位：亿元
项目 合计限额 合计余额 一般债务限额 一般债务余额 专项债务限额 专项债务余额
全省合计 14153.45 12575.50 5418.94 5183.12 8734.51 7392.38
省本级 3374.00 2180.85 1398.03 1340.44 1975.97 840.41
地市合计 10779.45 10394.65 4020.91 3842.68 6758.54 6551.97
西安市 4810.92 4643.76 1222.67 1164.56 3588.24 3479.21
铜川市 281.93 273.12 116.89 111.89 165.03 161.23
宝鸡市 604.22 573.08 242.21 226.44 362.01 346.64
咸阳市 660.63 644.24 233.46 221.19 427.17 423.05
渭南市 829.31 806.66 354.65 338.65 474.67 468.01
汉中市 690.32 666.12 260.80 250.28 429.52 415.84
安康市 658.15 641.00 362.78 353.61 295.38 287.39
商洛市 533.68 512.78 348.47 337.03 185.22 175.75
延安市 793.42 755.17 388.74 364.70 404.68 390.47
榆林市 776.50 744.24 437.87 425.37 338.63 318.87
杨凌示范区 140.37 134.48 52.37 48.97 87.99 85.51
说明：以上行列按陕西省财政厅《陕西省2024年财政决算（草案）和2025年上半年预算执行情况报表》表二十二转录；“合计限额、合计余额、一般限额、一般余额、专项限额、专项余额”按原表列序保留。
