1.2024 年四川省地方政府债务限额及余额情况表
单位：亿元
地区 2024年债务限额小计 一般债务 专项债务 2024年债务余额预计执行数小计 一般债务 专项债务
成都市 7295.6 1424.2 5871.4 6206.6 1374.8 4831.8
自贡市 954.3 230.7 723.5 875.4 227.4 647.9
攀枝花市 411.2 154.1 257.1 336.4 149.3 187.1
泸州市 1283.5 308.6 974.9 1171.3 305.3 866.0
德阳市 1012.2 184.0 828.2 931.4 182.4 748.9
绵阳市 1426.4 378.3 1048.1 1297.0 372.0 925.0
广元市 720.0 266.0 454.0 659.4 260.1 399.3
遂宁市 980.5 232.8 747.7 896.9 229.0 667.9
内江市 948.7 350.5 598.2 844.4 342.1 502.4
乐山市 1037.6 257.5 780.1 919.6 251.7 667.8
南充市 1440.1 418.5 1021.6 1311.7 412.3 899.4
眉山市 945.5 235.4 710.1 844.6 228.0 616.6
宜宾市 1439.3 355.7 1083.5 1348.2 352.6 995.7
广安市 869.6 255.7 613.9 812.2 251.1 561.1
达州市 1335.9 412.9 923.0 1207.7 405.5 802.3
雅安市 478.9 121.9 356.9 440.7 115.5 325.2
巴中市 1062.8 417.8 645.0 951.3 416.0 535.4
资阳市 732.5 285.8 446.7 669.6 278.1 391.5
阿坝州 178.2 100.0 78.3 169.9 92.0 77.9
甘孜州 163.9 112.5 51.5 157.4 109.2 48.3
凉山州 649.2 350.6 298.6 570.7 343.5 227.3
