2025年拉萨市地方政府债务限额及余额决算情况表
单位：亿元
地区 2025年债务限额合计 一般债务限额 专项债务限额 2025年末政府债务余额合计 一般债务余额 专项债务余额
拉萨市 186.45 83.67 102.78 173.45 82.75 90.70
拉萨市本级（含园区） 138.73 48.73 90.00 125.78 47.87 77.91
区县级合计 47.72 34.94 12.78 47.67 34.88 12.79
城关区 6.33 4.62 1.71 6.33 4.62 1.71
林周县 8.60 7.31 1.29 8.60 7.31 1.29
当雄县 6.70 5.00 1.70 6.70 5.00 1.70
尼木县 3.80 1.90 1.90 3.74 1.84 1.90
曲水县 4.09 3.98 0.11 4.09 3.98 0.11
堆龙德庆区 12.36 8.05 4.31 12.37 8.05 4.32
达孜区 2.82 2.11 0.71 2.82 2.11 0.71
墨竹工卡县 3.02 1.97 1.05 3.02 1.97 1.05
