2025年地方政府一般债务分地区限额、余额情况表
单位：亿元
地区  一般债务限额  一般债务余额
全省合计  8163.1  7964.1
省本级（含沈抚示范区）  551.1  518.2
沈阳市  1124.8  1107.8
大连市  1711.2  1680.9
鞍山市  537.1  523.4
抚顺市  248.5  239.8
本溪市  247.1  239.1
丹东市  308.6  300.9
锦州市  449.1  438.5
营口市  942.3  918.9
阜新市  156.9  154.2
辽阳市  283.7  276.7
铁岭市  212.2  208.0
朝阳市  167.1  162.4
盘锦市  817.3  798.6
葫芦岛市  406.1  396.7

2025年地方政府专项债务分地区限额、余额情况表
单位：亿元
地区  专项债务限额  专项债务余额
全省合计  8738.4  7726.2
省本级（含沈抚示范区）  1747.5  875.4
沈阳市  1577.9  1577.0
大连市  2005.7  1880.3
鞍山市  579.5  574.3
抚顺市  111.5  111.3
本溪市  211.9  210.9
丹东市  151.0  150.9
锦州市  191.6  191.5
营口市  516.9  515.5
阜新市  139.2  138.8
辽阳市  251.1  250.8
铁岭市  336.4  334.3
朝阳市  263.7  262.6
盘锦市  454.6  453.4
葫芦岛市  199.9  199.2
