city_id,city_name_cn,metric_year,statutory_debt_balance_100m,raw_value_million_rmb,value_origin,source_doc_id,source_url,evidence_excerpt,source_grade
CN-130200,唐山市,2024,2832.01000,283201.000,disclosed,SRC-SECONDARY-CEIC-CN-130200,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-tangshan,CEIC页面元数据同比基准：2024年=283201.000百万人民币,D
CN-130200,唐山市,2025,3127.72000,312772.000,disclosed,SRC-SECONDARY-CEIC-CN-130200,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-tangshan,CEIC页面元数据：2025年=312772.000百万人民币,D
CN-130300,秦皇岛市,2024,884.72000,88472.000,disclosed,SRC-SECONDARY-CEIC-CN-130300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-qinhuangdao,CEIC页面元数据同比基准：2024年=88472.000百万人民币,D
CN-130300,秦皇岛市,2025,1030.01000,103001.000,disclosed,SRC-SECONDARY-CEIC-CN-130300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-qinhuangdao,CEIC页面元数据：2025年=103001.000百万人民币,D
CN-130400,邯郸市,2024,1531.64000,153164.000,disclosed,SRC-SECONDARY-CEIC-CN-130400,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-handan,CEIC页面元数据同比基准：2024年=153164.000百万人民币,D
CN-130400,邯郸市,2025,1756.50000,175650.000,disclosed,SRC-SECONDARY-CEIC-CN-130400,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-handan,CEIC页面元数据：2025年=175650.000百万人民币,D
CN-130500,邢台市,2024,1226.60000,122660.000,disclosed,SRC-SECONDARY-CEIC-CN-130500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-xingtai,CEIC页面元数据同比基准：2024年=122660.000百万人民币,D
CN-130500,邢台市,2025,1409.08000,140908.000,disclosed,SRC-SECONDARY-CEIC-CN-130500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-xingtai,CEIC页面元数据：2025年=140908.000百万人民币,D
CN-130700,张家口市,2024,1547.17000,154717.000,disclosed,SRC-SECONDARY-CEIC-CN-130700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-zhangjiakou,CEIC页面元数据同比基准：2024年=154717.000百万人民币,D
CN-130700,张家口市,2025,1895.29000,189529.000,disclosed,SRC-SECONDARY-CEIC-CN-130700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-hebei-zhangjiakou,CEIC页面元数据：2025年=189529.000百万人民币,D
