city_id,city_name_cn,province_name,metric_year,statutory_debt_balance_100m,source_doc_id,source_url,evidence_excerpt,source_grade,value_origin,table_name,document_title,publisher,publication_date,period_end,source_note
CN-130200,唐山市,河北省,2018,444.85,SRC-SECONDARY-EBS-HEBEI-2018,https://www.10100.com/article/2475649,图表1：唐山市2018年一般债务余额276.23亿元、专项债务余额168.62亿元，合计444.85亿元,B2,chart_digitized,图表1 河北省各地级市2018年政府债务余额、限额情况,中国部分区域地方政府债务情况分析（2018年末）,EBS固收研究公开转载,2019-05-20,2018-12-31,图表标签直接转录并按一般+专项余额相加；作为阶段性补缺值，待河北省及各市财政决算原表复核。
CN-130300,秦皇岛市,河北省,2018,237.32,SRC-SECONDARY-EBS-HEBEI-2018,https://www.10100.com/article/2475649,图表1：秦皇岛市2018年一般债务余额184.59亿元、专项债务余额52.73亿元，合计237.32亿元,B2,chart_digitized,图表1 河北省各地级市2018年政府债务余额、限额情况,中国部分区域地方政府债务情况分析（2018年末）,EBS固收研究公开转载,2019-05-20,2018-12-31,图表标签直接转录并按一般+专项余额相加；作为阶段性补缺值，待河北省及各市财政决算原表复核。
CN-130400,邯郸市,河北省,2018,277.41,SRC-SECONDARY-EBS-HEBEI-2018,https://www.10100.com/article/2475649,图表1：邯郸市2018年一般债务余额149.09亿元、专项债务余额128.32亿元，合计277.41亿元,B2,chart_digitized,图表1 河北省各地级市2018年政府债务余额、限额情况,中国部分区域地方政府债务情况分析（2018年末）,EBS固收研究公开转载,2019-05-20,2018-12-31,图表标签直接转录并按一般+专项余额相加；作为阶段性补缺值，待河北省及各市财政决算原表复核。
CN-130900,沧州市,河北省,2018,376.57,SRC-SECONDARY-EBS-HEBEI-2018,https://www.10100.com/article/2475649,图表1：沧州市2018年一般债务余额181.62亿元、专项债务余额194.95亿元，合计376.57亿元,B2,chart_digitized,图表1 河北省各地级市2018年政府债务余额、限额情况,中国部分区域地方政府债务情况分析（2018年末）,EBS固收研究公开转载,2019-05-20,2018-12-31,图表标签直接转录并按一般+专项余额相加；作为阶段性补缺值，待河北省及各市财政决算原表复核。
CN-131000,廊坊市,河北省,2018,278.95,SRC-SECONDARY-EBS-HEBEI-2018,https://www.10100.com/article/2475649,图表1：廊坊市2018年一般债务余额144.94亿元、专项债务余额134.01亿元，合计278.95亿元,B2,chart_digitized,图表1 河北省各地级市2018年政府债务余额、限额情况,中国部分区域地方政府债务情况分析（2018年末）,EBS固收研究公开转载,2019-05-20,2018-12-31,图表标签直接转录并按一般+专项余额相加；作为阶段性补缺值，待河北省及各市财政决算原表复核。
CN-140100,太原市,山西省,2019,566.7,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：太原市2019年柱形图按纵轴刻度转录约566.7亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140100,太原市,山西省,2020,687.6,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：太原市2020年柱形图按纵轴刻度转录约687.6亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140100,太原市,山西省,2021,799.12,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：太原市2021年地方政府债务余额799.12亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140200,大同市,山西省,2019,364.1,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：大同市2019年柱形图按纵轴刻度转录约364.1亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140200,大同市,山西省,2020,415.5,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：大同市2020年柱形图按纵轴刻度转录约415.5亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
