来源标题：2024年自治区政府性基金预算执行情况与2025年自治区政府性基金预算表
来源附件：02-2024年自治区预算执行情况和2025年自治区预算（四本预算）.pdf
表七：2024年自治区各地政府专项债务限额、余额情况表；PDF第78页（印刷页76）；单位：万元
区划名称 专项债务限额总额 其中当年新增专项债务限额 专项债务余额执行数
乌鲁木齐市 16316900 3783000 15888995
伊犁州 6853400 1185300 6751912
塔城地区 2984100 699000 2946711
阿勒泰地区 2823200 466000 2819035
克拉玛依市 1216100 80000 1179300
博尔塔拉州 2534300 389000 2529625
昌吉州 5311200 1436000 5239193
哈密市 2144800 212000 1958131
吐鲁番市 1963500 427000 2130800
巴音郭楞州 4885000 751000 4843109
阿克苏地区 5314300 989000 5290095
克孜勒苏州 1274000 107000 1274000
喀什地区 6518400 1700000 6511435
和田地区 3765300 901000 3762400
