来源标题：2024年自治区政府性基金预算执行情况与2025年自治区政府性基金预算表
来源附件：02-2024年自治区预算执行情况和2025年自治区预算（四本预算）.pdf
表五：2024年自治区各地政府性基金预算收入完成情况表；PDF第76页（印刷页74）；单位：万元
区划名称 2023年决算数 2024年完成数 比上年增（减）%
乌鲁木齐市 920262 922835 0.3
伊犁州 568276 515148 -9.3
塔城地区 299572 498702 66.5
阿勒泰地区 177778 318392 79.1
克拉玛依市 77350 116702 50.9
博尔塔拉州 249232 251830 1.0
昌吉州 537071 480414 -10.5
哈密市 200927 184817 -8.0
吐鲁番市 84146 86653 3.0
巴音郭楞州 377951 414412 9.6
阿克苏地区 586759 603972 2.9
克孜勒苏州 93355 58174 -37.7
喀什地区 269124 452373 68.1
和田地区 132796 139585 5.1
政府性基金预算收入 4574599 5044009 10.3
