来源：https://www.lhratings.com/file/g060864362f.pdf
表6 2024年安徽省各地级市主要经济指标（单位：亿元、%、万人）
区域名称|GDP|GDP增速|年末常住人口
合肥市|13507.70|6.10|1000.20
芜湖市|5120.50|6.40|379.70
滁州市|4034.40|5.50|405.60
阜阳市|3609.80|5.50|804.10
安庆市|3156.00|6.00|409.80
马鞍山市|2784.60|6.00|220.10
宿州市|2457.30|5.10|522.50
亳州市|2521.60|6.10|486.10
蚌埠市|2313.00|5.20|326.20
六安市|2307.50|5.40|430.40
淮南市|1716.00|5.00|301.90
淮北市|1405.90|4.00|193.20
铜陵市|1325.50|6.40|130.20
池州市|1177.80|6.30|132.40
黄山市|1134.00|5.90|131.70
宣城市|2053.50|5.80|—
注：本批只提取表内明确的GDP和GDP增速；宣城市常住人口表格值与其他来源出现明显异常，按保守原则不录入该人口值。
