来源文件：联合资信《地方政府与城投企业债务风险研究报告——河南篇（2025）》
入口页/附件：https://www.lhratings.com/file/g04c6e72d88.pdf
表2.2 2024年河南省各地市GDP、人口等情况；行政范围=全市；单位=亿元、%、万人
地市|GDP|GDP增速|年末常住人口
郑州市|14532.10|5.70|1308.60
洛阳市|5818.60|4.90|708.10
南阳市|4879.08|5.50|945.40
周口市|3635.62|6.50|863.10
新乡市|3569.70|4.90|611.30
许昌市|3441.10|6.00|435.70
驻马店市|3342.70|6.10|671.10
商丘市|3272.27|4.10|762.80
信阳市|3073.36|5.20|600.20
平顶山市|2831.97|4.00|487.60
开封市|2761.10|5.50|469.80
安阳市|2672.10|4.60|539.40
焦作市|2369.20|5.40|349.60
濮阳市|2018.55|5.10|369.11
漯河市|1869.90|6.80|234.30
三门峡市|1618.69|5.10|200.70
鹤壁市|1094.39|5.50|155.90
济源市|789.56|5.30|72.30
注：只提取表格精确值；报告中的财政图表不作为本批数据来源。
