来源文件：联合资信《地方政府与城投企业债务风险研究报告——湖北篇（2025）》
入口页/附件：https://www.lhratings.com/file/g09ce7e13aa.pdf
表4 2024年湖北省各地市（州）GDP、人口等情况；行政范围=全市/全州；单位=亿元、%、万人
地市（州）|GDP|GDP增速|年末常住人口
武汉市|21106.23|5.2|1380.91
宜昌市|6191.12|6.5|392.65
襄阳市|6102.41|5.9|527.97
荆州市|3505.99|6.3|512.35
孝感市|3258.54|7.0|417.19
黄冈市|3216.65|6.2|579.24
十堰市|2565.84|6.5|314.22
荆门市|2459.68|6.7|255.07
黄石市|2305.81|7.1|243.53
咸宁市|1944.57|6.1|260.04
恩施州|1661.36|5.8|337.72
随州市|1442.35|6.1|200.39
鄂州市|1341.30|6.5|107.28
注：省直管县级市仙桃、潜江、天门和神农架林区不纳入本地级行政单元主表；只提取表格精确值。
